Date,High,Low,Open,Close,Volume,Adj Close
2021-08-04,156.66000366210938,153.8699951171875,156.19000244140625,154.0500030517578,4846300,154.0500030517578
2021-08-05,155.19000244140625,153.8699951171875,154.97999572753906,154.30999755859375,3733500,154.30999755859375
2021-08-06,154.75999450683594,153.63999938964844,153.77000427246094,154.3300018310547,3430900,154.3300018310547
2021-08-09,154.7899932861328,153.7100067138672,154.63999938964844,154.35000610351562,2636600,154.35000610351562
2021-08-10,155.30999755859375,153.80999755859375,154.30999755859375,154.42999267578125,2670200,154.42999267578125
2021-08-11,156.02000427246094,154.47000122070312,154.7100067138672,155.0399932861328,3058000,155.0399932861328
2021-08-12,155.3000030517578,154.60000610351562,155.22999572753906,155.07000732421875,1958700,155.07000732421875
2021-08-13,156.6699981689453,154.89999389648438,155.10000610351562,156.52000427246094,2113800,156.52000427246094
2021-08-16,158.1199951171875,156.72999572753906,156.92999267578125,158.0500030517578,3224000,158.0500030517578
2021-08-17,158.4499969482422,157.24000549316406,157.91000366210938,157.89999389648438,3736300,157.89999389648438
2021-08-18,158.1999969482422,156.1999969482422,157.67999267578125,156.27999877929688,3419200,156.27999877929688
2021-08-19,159.4199981689453,155.77999877929688,155.82000732421875,158.91000366210938,4745600,158.91000366210938
2021-08-20,159.6300048828125,158.25,158.92999267578125,158.35000610351562,3484100,158.35000610351562
2021-08-23,158.52000427246094,157.32000732421875,157.8300018310547,157.85000610351562,3102100,157.85000610351562
2021-08-24,157.75,155.67999267578125,157.75,155.88999938964844,3760800,155.88999938964844
2021-08-25,155.6699981689453,154.16000366210938,155.36000061035156,155.1999969482422,3346700,155.1999969482422
2021-08-26,155.6699981689453,154.08999633789062,155.50999450683594,154.6300048828125,3220700,154.6300048828125
2021-08-27,155.41000366210938,154.2100067138672,154.83999633789062,154.94000244140625,4166500,154.94000244140625
2021-08-30,156.1699981689453,155.00999450683594,155.17999267578125,156.0,2540300,156.0
2021-08-31,156.47000122070312,155.33999633789062,156.08999633789062,156.38999938964844,5291200,156.38999938964844
2021-09-01,158.19000244140625,156.50999450683594,156.83999633789062,157.91000366210938,4231400,157.91000366210938
2021-09-02,157.2899932861328,155.8699951171875,156.7899932861328,156.9499969482422,2862500,156.9499969482422
2021-09-03,157.4199981689453,155.89999389648438,156.1999969482422,157.08999633789062,2035100,157.08999633789062
