Date,High,Low,Open,Close,Volume,Adj Close
2021-08-04,542.6099853515625,536.1099853515625,541.9000244140625,536.6799926757812,407900.0,534.755859375
2021-08-05,538.510009765625,529.3699951171875,535.3200073242188,535.47998046875,261800.0,533.5601196289062
2021-08-06,537.77001953125,531.6500244140625,536.0499877929688,533.4400024414062,254000.0,531.5275268554688
2021-08-09,533.1199951171875,525.4500122070312,531.0800170898438,529.469970703125,258900.0,527.5717163085938
2021-08-10,530.969970703125,517.719970703125,529.6300048828125,518.9299926757812,315800.0,517.0695190429688
2021-08-11,523.489990234375,514.3599853515625,518.0,515.3300170898438,263900.0,513.4824829101562
2021-08-12,518.739990234375,513.8900146484375,514.72998046875,516.47998046875,303400.0,514.6282958984375
2021-08-13,518.6599731445312,512.3499755859375,515.75,517.02001953125,462000.0,515.1663818359375
2021-08-16,518.1900024414062,512.3499755859375,518.1199951171875,513.1900024414062,332200.0,511.35009765625
2021-08-17,531.5999755859375,512.5399780273438,513.3400268554688,527.75,638400.0,525.8578491210938
2021-08-18,533.780029296875,523.75,525.5,525.6199951171875,335700.0,523.7355346679688
2021-08-19,525.1500244140625,515.719970703125,523.5999755859375,518.3200073242188,263400.0,516.4617309570312
2021-08-20,518.3599853515625,507.0299987792969,518.239990234375,509.5199890136719,761100.0,507.6932373046875
2021-08-23,516.47998046875,505.0,510.0400085449219,509.5199890136719,397800.0,507.6932373046875
2021-08-24,510.0,500.42999267578125,510.0,501.5799865722656,377900.0,499.7817077636719
2021-08-25,512.5499877929688,501.4800109863281,502.4800109863281,512.1400146484375,417000.0,510.30389404296875
2021-08-26,514.489990234375,508.44000244140625,512.4600219726562,510.5899963378906,238200.0,508.7594299316406
2021-08-27,513.0599975585938,508.0299987792969,508.0299987792969,511.8699951171875,238700.0,510.0348205566406
2021-08-30,520.1099853515625,511.8699951171875,511.8699951171875,517.25,272200.0,515.3955688476562
2021-08-31,520.5800170898438,515.6900024414062,517.97998046875,516.8900146484375,299800.0,515.036865234375
2021-09-01,517.469970703125,508.4700012207031,515.02001953125,515.4000244140625,343600.0,513.55224609375
2021-09-02,519.1699829101562,512.5599975585938,519.1699829101562,517.2899780273438,286100.0,515.4354248046875
2021-09-03,520.97998046875,512.22998046875,516.0800170898438,514.5,373000.0,512.6553955078125
